챕터,스테이지,퀘스트번호,퀘스트제목,퀘스트내용
0,0,1,[스테이지 클리어],스테이지 클리어하기
1,1,2,[신속 배달],1분 30초 이내로 클리어 하기
1,1,3,[어디있지?],숨겨진 파편 1개 찾기
1,2,2,[완벽한 균형],균형 발판 위에서 무게중심이 60%이상 쏠리지 않고 통과하기
1,2,3,[킁킁..이게 뭘까?],낯선 식물 1개 채집하기
1,3,2,[신중한 결정],무게 감지 문을 열기 위해 아이템을 3회 이하로 재배치 하기
1,3,3,[배고파!],우주 비상 식량 3개 모두 획득하기
2,1,2,[굳건한 고양이] ,중력 쏠림 구역에서 10초 이상 버티기
2,1,3,[멋진 것이야],천장에 숨겨진 고대 문양 1개 발견하기
2,2,2,[점프의 달냥],한번도 떨어지지 않고 클리어
2,2,3,[둥둥..신기하다!],신비한 중력석 조각 3개 획득하기
2,3,2,[아슬아슬하게],불균형 상태를 총합 60초동안 유지하지 않기
2,3,3,[완벽하게],단 한번도 무게중심이 80%이상 쏠리지 않기
3,1,2,[소중한 장비] ,아이템을 하나도 파괴당하지 않고 클리어하기
3,1,3,[불타는 거 아니야?!],증기 속에 숨겨진 내열 합금 2개 획득하기
3,2,2,[신속한 탈출],붕괴되는 플랫폼 구간을 30초 이내로 통과하기
3,2,3,[점프의 달냥],한번도 떨어지지 않고 클리어
3,3,2,[혼자서도 충분해],펫 능력 한번도 사용하지 않고 클리어
3,3,3,[과거의 흔적],돌무더기 속 불에 탄 기록 1개 획득하기
4,1,2,[뽀송하게],젖음 게이지가 50% 이상 차지 않기
4,1,3,[물속의 광물],물웅덩이 속 희귀 광물 3개 줍기
4,2,2,[혼자서도 충분해],펫 능력 한번도 사용하지 않고 클리어
4,2,3,[얼음 질주],미끄러운 지대에서 10초동안 활강하기
4,3,2,[효율적인 움직임],수위 조절 스위치를 2번 이하로 조작하여 클리어하기
4,3,3,[물 위의 꽃],수위를 최대로 높여야 닿을 수 있는 수중 식물 1개 획득하기
